2025-11-04T09:21:33.513766+07:00,2,300.00 cms
2025-11-05T09:23:19.007516+07:00,2,500.00 cms
2025-11-06T09:24:09.902675+07:00,2,700.00 cms
2025-11-07T09:21:49.632238+07:00,2,700.00 cms
2025-11-08T09:14:56.912989+07:00,2,700.00 cms
2025-11-09T09:25:32.867862+07:00,2,733.00 cms
2025-11-10T09:27:51.920985+07:00,2,800.00 cms
2025-11-11T09:24:03.847015+07:00,2,900.00 cms
2025-11-12T09:23:12.369413+07:00,2,900.00 cms
2025-11-13T09:25:55.778926+07:00,2,900.00 cms
2025-11-14T09:23:49.294551+07:00,2,900.00 cms
2025-11-15T09:19:21.767750+07:00,2,879.00 cms
2025-11-17T09:24:31.702434+07:00,2,755.00 cms
2025-11-18T09:22:54.497081+07:00,2,688.00 cms
2025-11-19T09:22:26.777504+07:00,2,688.00 cms
2025-11-20T09:20:55.933456+07:00,2,637.00 cms
2025-11-21T09:21:40.610105+07:00,2,570.00 cms
2025-11-22T09:16:46.364270+07:00,2,470.00 cms
2025-11-23T09:48:52.234419+07:00,2,369.00 cms
2025-11-24T09:31:16.179599+07:00,2,268.00 cms
2025-11-25T09:24:40.385370+07:00,2,259.00 cms
2025-11-26T09:25:37.542998+07:00,2,137.00 cms
2025-11-27T09:21:59.307212+07:00,2,020.00 cms
2025-11-28T09:21:37.927673+07:00,1,900.00 cms
2025-11-29T09:21:17.340555+07:00,1,800.00 cms
2025-11-30T09:47:53.897311+07:00,1,700.00 cms
2025-12-01T09:59:03.855582+07:00,1,600.00 cms
2025-12-02T09:27:10.741046+07:00,1,550.00 cms
2025-12-03T09:26:51.925635+07:00,1,450.00 cms
2025-12-04T09:27:39.150683+07:00,1,450.00 cms
2025-12-05T09:28:00.238530+07:00,1,380.00 cms
2025-12-06T09:20:53.328966+07:00,1,280.00 cms
2025-12-07T09:48:11.317073+07:00,1,280.00 cms
2025-12-08T09:28:43.346784+07:00,1,180.00 cms
2025-12-09T09:27:24.653582+07:00,1,180.00 cms
2025-12-10T09:30:23.239702+07:00,1,050.00 cms
2025-12-11T09:31:44.792575+07:00,920.00 cms
2025-12-12T09:31:33.895256+07:00,770.00 cms
2025-12-13T09:24:25.384841+07:00,770.00 cms
2025-12-14T09:49:54.310783+07:00,770.00 cms
2025-12-15T09:49:08.746249+07:00,770.00 cms
2025-12-16T09:32:02.479789+07:00,770.00 cms
2025-12-17T09:27:49.713993+07:00,770.00 cms
2025-12-18T09:28:51.082337+07:00,770.00 cms
2025-12-19T09:31:11.723747+07:00,670.00 cms
2025-12-20T09:24:22.738886+07:00,670.00 cms
